Title,Description,Profile,Use Case,Tool(s),Link
"Canvas: Personal Budgets","Using Canvas to organize budget categories and bills in charts/graphs, with Gemini recommending savings strategies.","Everyday user","Tasks & projects","Canvas","https://drive.google.com/file/d/1I6EP0Xm1EP-9d0Y4OjWIerVt-gIUKW-e/view?usp=sharing"
"Canvas: Coding A Pong Game","Creating a game (ex. pong, tetris) via prompts and making small tweaks to code based on preview.","Student","Homework & learning","Canvas","https://drive.google.com/file/d/1hFj76FtscaZWjgcfl5sCactRxcRBEgbi/view?usp=sharing"
"Find Answers In Google Workspace","Enabling the Workspace extension for Gemini to pull relevant documents upon request and allow Drive to be used as an information source.","Student","Homework & learning","Gemini","https://drive.google.com/file/d/1VWCJQiXakh3HgVGmsu_WV9-Sn7_l_T1a/view?usp=drive_link"
"Extensions: YouTube Recipe Help","Enabling the YouTube extension to find new recipe walkthroughs and step by step instructions.","Everyday user","Tasks & projects","Gemini","https://drive.google.com/file/d/1s-BcG3St5pUL04ZkSP-lSI95xvsivUdR/view?usp=sharing"
"Gem: What Should We Watch?","Creating a Gem that recommends movies or shows based on the family's collective preferences.","Family (Shared Device)","Tasks & projects","Gems","https://drive.google.com/file/d/1ytLBM4v0CqOI_Pix84svEonZ23hsJtbG/view?usp=sharing"
"Gem: Creating A Why Gem","Creating a Gem designed to answer common ""why"" questions from curious kids in an age-appropriate and engaging way.","Family (Shared Device)","Learn about Google AI","Gems","https://drive.google.com/file/d/1l0Ii0B1J-5pv8d2To4jNr7yR3gYn3C66/view?usp=sharing"
"Gem: Language Learning Buddy","Setting up a custom Gem to learn fundamentals of a new language, such as verb conjugation.","Student","Tasks & projects","Gems","https://drive.google.com/file/d/1bDyGBx8lUom3QUpdvu5hunxm_aRUtbXu/view?usp=sharing"
"Quick Insert Links & Emojis","Using Quick Insert to send lecture note links and emoji reactions in Google Chat.","Student","Tasks & projects","Google AI","https://drive.google.com/file/d/1zD5QU1fjJ3JA5t06wa1gicS1iMR2_Pp9/view?usp=sharing"
"Live Translate On YouTube Videos","Using Live Translate while watching a YouTube video in Spanish to turn on English captions in real time.","Everyday user","Tasks & projects","Live Translate","https://drive.google.com/file/d/1kn0UbD0I9GL3KZBJBsPE7CDM6fG0caEe/view?usp=sharing"
"Gemini: Brainstorming A Book Report","Brainstorm a list of ideas for topics of a book report in Gemini, and have Gemini insert tables of resources and citations in a Google Doc.","Students","Homework & learning","Gemini","https://drive.google.com/file/d/19l4Nq1rCdyOUUZ5GOff__hZhxOuBLHfX/view?usp=sharing"
"Gem: Storybook Creation","Creating a custom storybook based on real people and images in a fictitious presentation.","Family (Shared Device)","Learn about Google AI","Gemini","https://drive.google.com/file/d/1OX9LJaVpullsjZeugBl1jOMFU8ASO_-2/view?usp=sharing"
"Gemini Study Guide","Uploading homework to Gemini and requesting a detailed study schedule plan based on provided availability.","Student","Homework & learning","Gemini","https://drive.google.com/file/d/1DwHRSCcLbwdnpkBqR-GIfCMh0hsC5lyG/view?usp=sharing"
"Deep Research For Home Improvement Projects","Asking deep research to gather relevant information and resources on how to replace and install new appliances, with step by step instructions and recommendations for further support (articles).","Everyday user","Research & writing","Deep Research","https://drive.google.com/file/d/1Ww_rAJdUSDrSgamzA2Vq7Fe2_YtIa0tA/view?usp=sharing"
"Gemini Notebook - Audio Overviews","Asking Gemini Notebook to compile relevant resources about an upcoming travel destination to create an interactive podcast to listen to on the way to the airport.","Family (Shared Device)","Tasks & projects","Gemini Notebook","https://drive.google.com/file/d/1LneMDGJBMCTq48gFekXHpixlbhk5SLWO/view?usp=sharing"
"Canvas: Coding Support (Fix Code)","Copy your broken program code into Canvas and ask Gemini to identify and and fix any errors, showing you where the issue is.","Professional","Professional use","Canvas","https://drive.google.com/file/d/1ONnn1CVdgHlVNc-Olzbj67taP5R5cVdU/view?usp=sharing"
"Gemini Notebook: Key Takeaways & Follow Up Q's","Uploading work documents to Gemini Notebook like contracts, policy manuals, or long reports to receive instant summaries, key takeaways, and answer specific questions about the content.","Professional","Professional use","Gemini Notebook","https://drive.google.com/file/d/1CjHyULJOOfIAcCOA4YJ3d9C1BKfFgtiI/view?usp=sharing"
"Nano Banana: Logo Creation","Creating custom business logos, refining outputs.","Professional","Photo & video designing","Nano Banana","https://drive.google.com/file/d/1rn-onJE2WvitezauOTCmOejuqLDr6H60/view?usp=sharing"
"Gemini: Review & Coaching On Docs","Asking Gemini to provide feedback and presentation guidance for a project document.","Professional","Professional use","Google AI","https://drive.google.com/file/d/1D8-RY_N0DZ53achaiWiQ9ecbzZu6leXl/view?usp=sharing"
"Tone Coaching in Google Slides","Ask Gemini to provide recommendations on how to change the tone and messaging of your presentation in Google Slides for a different audience.","Professional","Professional use","Google AI","https://drive.google.com/file/d/1TkfBBwpe5wNgOHHkqGn3nc90bwQ5Rm7c/view?usp=sharing"
"Deep Research: Analyzing Market Risks","Identify potential supply chain risks before launching a new product by having Deep Research explore concerns with individual components and regional requirements.","Professional","Research & writing","Deep Research","https://drive.google.com/file/d/1SaqKHR6tAq8iyUL_lbePbhOv8vppGkI_/view?usp=sharing"
"Deep Research: Game Recommendations (GeForce NOW)","Use Deep Research to suggest 5 highly-rated indie RPGs available on GeForce NOW that focus on your preferred gameplay elements.","Gamer","Research & writing","Deep Research","https://drive.google.com/file/d/1gxsK0Ltohp2cP6kBnu6sBCGuFFFoCvRy/view?usp=sharing"
"Gem: Game Strategy Guide","Strategy guide master for a game. Creates a step-by-step guide on walking through the (game name).","Gamer","Gaming","Gemini","https://drive.google.com/file/d/1xktvKg9HrhZxE8JbmnkYWjPzeuEdHCYn/view?usp=sharing"
"Omni: Channel Intros","Prompt Omni3 to create animated introductions that you can use before posting game recordings.","Gamer","Gaming","Omni","https://drive.google.com/file/d/1oDWHT2bihtBGDcLLy01sNJvMCIGvI7Re/view?usp=sharing"
"Extensions: YouTube Walkthroughs","Turn on the YouTube extension to ask Gemini to find video walkthroughs of the best strategies to beating specific levels of a game.","Gamer","Gaming","Gemini","https://drive.google.com/file/d/1kokm74cuedlDrvXqTY7V9sX5alfgNbCK/view?usp=sharing"
"Help Me Read: Summarize","Using the ""Summarize"" tool within Help me read within a lengthy ""marketing trends"" PDF to identify key information and takeaways.","Professional","Professional use","Google AI","https://drive.google.com/file/d/1tzW2FM7j1-EuPSr0qb2X0XJ-M2rCOQ3B/view?usp=sharing"
"Deep Research: Gameplay Troubleshooting","Use Deep Research to identify and resolve gameplay issues and provide step-by-step troubleshooting instructions.","Gamer","Research & writing","Deep Research","https://drive.google.com/file/d/1z2PORtHL_bRpRxbgbGfH6a5W7fxchsx4/view?usp=sharing"
"Help Me Read: Simplify","Utilizing the ""Simplify"" tool in Help Me Read to understand complex homework material, ask follow up Qs to better understand.","Student","Homework & learning","Google AI","https://drive.google.com/file/d/1pbX6YJOrHPCizzbFbnaAytRR5dRvDOl7/view?usp=sharing"
"Gmail Integration: Search For Dates","Asking Gemini in Gmail ""when is the next parent-teacher conferences"" without having to filter through hundreds of emails from the school district.","Family (Shared Device)","Tasks & projects","Gemini","https://drive.google.com/file/d/1KDHHS4uufByz2qi3Y0cXJjpao34NSehN/view?usp=sharing"
"Omni: Training Videos","Using Omni3 to generate clips that will be used in a new safety training video.","Professional","Professional use","Omni","https://drive.google.com/file/d/1GsP0A-KKZSjr7_Txcz-JX-G8Pl129ezb/view?usp=sharing"
"Calendar Integration: Weekly Notifications","Prompt Gemini to create a reminder in your calendar every week to check new Google Play Store game promotions.","Gamer","Gaming","Gemini","https://drive.google.com/file/d/1FbK7v5nxPm00A_UmfzOSvaifTizFwBfL/view?usp=sharing"
"Maps Extensions: Server Mapping","Use the Google Maps extension to research locations of cloud gaming server locations to reduce latency.","Gamer","Research & writing","Gemini","https://drive.google.com/file/d/1K9jMHpQwSd_UF04qwxsCIZ8QumSNrWUk/view?usp=drive_link"
"Gem: Daily Updates","Daily Update GEM: Create a Gem that aggregates daily news updates specifically about cloud gaming services, new game announcements, and technology advancements.","Gamer","Gaming","Gems","https://drive.google.com/file/d/1TW1xR0BAsvewub4ohENxxRLUtzSiOuAR/view?usp=sharing"
"Extensions: Flights Notifications","Receive real-time updates on price drops and availability for flights to a specific destination.","Everyday user","Tasks & projects","Gemini","https://drive.google.com/file/d/1DHFakkyJ2_pyCOQi_NlxNTsjcFB4CA2h/view?usp=drive_link"
"Nano Banana: Furniture Shopping","Use Nano Banana to generate mock-ups of how a new piece of furniture might look in a room before buying.","Everyday user","Photo & video designing","Nano Banana","https://drive.google.com/file/d/1jDkYIEI1dpGlnVVNpRhWvMN_EaqUGvDz/view?usp=sharing"
"Gmail Integration: Help Me Write","Use Gemini to help you write an concise and polite email to a store's customer service regarding a product.","Everyday user","Research & writing","Google AI","https://drive.google.com/file/d/1ehRQsiTzSVuorGyBZecWUG-LKiQkfYjO/view?usp=sharing"
"Gem: Recipe Rescuer","Recipe rescuer gem: Helps prevent food waste and inspires meal creativity by suggesting recipes based on ingredients you already have.","Everyday user","Tasks & projects","Gemini","https://drive.google.com/file/d/1iaQP1YQ5KiOONo8QWCk6OsqQtf7wwgEo/view?usp=sharing"
"Smart Tab Grouping On Navi","Open a handful of tabs in Chrome and let Gemini apply ""smart grouping"" to tabs to better organize your open sites.","Professional","Professional use","Gemini","https://drive.google.com/file/d/1kQa5NAF_S4duQdA8McL9PUhID-aHJHzB/view?usp=sharing"
"Gemini Notebook: Video Overview","Asking Gemini Notebook to compile relevant resources to create an informative video overview of the topic.","Student","Tasks & projects","Gemini Notebook","https://drive.google.com/file/d/1RrQAGX_yvo6PgB144plydDP7igcezeNv/view?usp=sharing"
"Gaming Dashboard: Control Mapping (Non-AI Demo)","Open the game dashboard to re-map touchscreen controls to keyboard keys for mobile games played on your Chromebook, enhancing precision.","Gamer","Gaming","Gemini","https://drive.google.com/file/d/16KWuXu0oEVxUbOF4CrB1zBI-mqNu6Rtl/view?usp=sharing"
"Deep Research: Product Comparison","Using Deep Research to compare multiple products in a specific genre before making your purchase.","Everyday user","Research & writing","Deep Research","https://drive.google.com/file/d/1Mhh9II_4E59ekGpXxm5Cja-2Dp7qxbt_/view?usp=sharing"
"Omni: Short Clips","Using Omni to create short, humorous videos to keep the spirit light in a fantasy football group.","Everyday User","Photo & video design","Omni","https://drive.google.com/file/d/1HO-18_szfPIrPzjwezqOt38Vw-UNjb_e/view?usp=sharing"
"Create A Budget In Google Sheets","Using Gemini in Google Sheets to create a personal budget based on existing bills and financial goals.","Everyday user","Tasks & projects","Google AI","https://drive.google.com/file/d/1RczSkuxye-oOhBf2zgz-z_KM5LWeYoNY/view?usp=sharing"
"Nano Banana: Character Portraits","Create fun photo edits with professional grade AI edits, demo’d with a Pokemon themed portrait.","Everyday user","Photo & video design","Nano Banana","https://drive.google.com/file/d/1Z74w9N6Wo69gKJ1fFcewoijtaoEBlDZp/view?usp=sharing"
"Gemini Notebook: Infographic Creation","Creating an instructional infographic for grandparents to learn a new TV remote.","Family (Shared Device)","Tasks & projects","Gemini Notebook","https://drive.google.com/file/d/1LttXTpJuYDHFaCeL5fkUSXBBUQsoOzIj/view?usp=drive_link"
"Shopping with Gemini Agent","Have Agent assist you with your online grocery shopping order.","Everyday User","Tasks & projects","Agent","https://drive.google.com/file/d/1AgK2IrxTFnx6yuRilD_mJE5H6SWMG1Kz/view?usp=sharing"
